Unnamed: 0,frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,scaled-sound-pressure,log_frequency,sqrt_frequency,log_chord,sqrt_chord,log_thickness,sqrt_thickness
0,800,0.0,0.3048,71.3,0.00266337,126.201,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
1,1000,0.0,0.3048,71.3,0.00266337,125.201,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
2,1250,0.0,0.3048,71.3,0.00266337,125.951,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
3,1600,0.0,0.3048,71.3,0.00266337,127.591,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
4,2000,0.0,0.3048,71.3,0.00266337,127.461,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
5,2500,0.0,0.3048,71.3,0.00266337,125.571,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
6,3150,0.0,0.3048,71.3,0.00266337,125.201,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
7,4000,0.0,0.3048,71.3,0.00266337,123.061,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
8,5000,0.0,0.3048,71.3,0.00266337,121.301,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
9,6300,0.0,0.3048,71.3,0.00266337,119.541,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
10,8000,0.0,0.3048,71.3,0.00266337,117.151,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
11,10000,0.0,0.3048,71.3,0.00266337,115.391,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
12,12500,0.0,0.3048,71.3,0.00266337,112.241,9.433563920090563,111.80339887498948,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
13,16000,0.0,0.3048,71.3,0.00266337,108.721,9.680406499268875,126.49110640673517,0.2660497723246671,0.5520869496736904,0.0026598295151423782,0.05160784824035972
14,500,0.0,0.3048,55.5,0.00283081,126.416,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
15,630,0.0,0.3048,55.5,0.00283081,127.696,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
16,800,0.0,0.3048,55.5,0.00283081,128.086,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
